"id","name","anonymous_delivery"
"300","日本郵便 - ゆうパック","false"
"301","日本郵便 - レターパックライト","false"
"302","日本郵便 - レターパックプラス","false"
"304","佐川急便","false"
"306","西濃運輸","false"
"307","エコ配","false"
"308","日本郵便 - 定形郵便、定型外郵便","false"
"309","日本郵便 - ゆうメール","false"
"312","福山通運","false"
"313","ヤマト運輸　-　宅急便","false"
"315","日本郵便 - スマートレター","false"
"316","日本郵便 - クリックポスト","false"
"317","ヤマト運輸 - 宅急便コンパクト","false"
"318","ヤマト運輸 - ネコポス","false"
"319","日本郵便 - ゆうパケット","false"
"320","かんたんBUYMA便【匿名配送】 - ゆうパケット","true"
"321","かんたんBUYMA便【匿名配送】 - ゆうパック 60サイズ","true"
"322","かんたんBUYMA便【匿名配送】 - ゆうパック 80サイズ","true"
"323","かんたんBUYMA便【匿名配送】 - ゆうパック 100サイズ","true"
"324","かんたんBUYMA便【匿名配送】 - ゆうパック 120サイズ","true"
"325","佐川急便（グローバル）","false"
"326","ヤマト運輸 - クロネコゆうパケット","false"
"400","USPS - Global Express Guaranteed","false"
"401","USPS - Priority Mail Express International（旧名：EMI）","false"
"402","USPS - Priority Mail International","false"
"403","USPS - First-Class Mail International（FCPIS含む）","false"
"404","UPS","false"
"405","Fedex","false"
"406","DHL EXPRESS","false"
"500","Royal Mail - Airmail","false"
"501","Royal Mail - Airsure","false"
"502","Royal Mail - International Signed For","false"
"503","Royal Mail - International Standard","false"
"504","Royal Mail - International Tracked","false"
"600","Poste italiane","false"
"601","Australia Post","false"
"602","canada post","false"
"603","Singapore Post","false"
"604","CORREOS","false"
"605","Deutsche Post","false"
"606","LA POSTE","false"
"607","pos MALAYSIA","false"
"608","韓国郵便局","false"
"609","Posten Sweden","false"
"610","TracX Logis（旧Qxpress）","false"
"611","PostNL","false"
"650","BUYMA EMS","false"
"700","KSE express","false"
"701","BUYMA YAMATO","true"
"702","OCS","false"
"703","ヤマト運輸 - 国際宅急便","false"
"999","その他","false"
